density_scenario,information_stock,information_scale,information_multiplier,worlds,mean_prior_cutoff_gap,budget_multiple,budget,cutoff_mean,cutoff_se,combined_mean,combined_se,combined_improvement_vs_cutoff_mean,combined_improvement_vs_cutoff_se,combined_win_rate_vs_cutoff,combined_pct_improvement_vs_cutoff,best_policy_by_mean
moderate,balanced,high_info,1.5,100,0.15823755171884535,30,1800,0.023458023048530535,0.005079511033043181,0.035014998496920635,0.007287381231037214,-0.011556975448390098,0.009032916802414935,0.17,-49.26662159245365,cutoff_only
moderate,heterogeneous,low_info,0.65,100,0.161439101048588,1,60,0.458069777340375,0.04502932190000359,0.39675190202577154,0.03992700484711134,0.06131787531460341,0.04350817883316198,0.38,13.386142973811678,cutoff_x_uncertainty
moderate,heterogeneous,low_info,0.65,100,0.161439101048588,3,180,0.32093469125388274,0.03567380181013976,0.31227634870152277,0.03348810952485931,0.00865834255236013,0.03851831072023919,0.38,2.6978518646682383,cutoff_x_uncertainty
moderate,heterogeneous,low_info,0.65,100,0.161439101048588,10,600,0.14845957461250067,0.023414033087996666,0.14723936703006968,0.01846214405770926,0.0012202075824309766,0.02455966818923163,0.36,0.8219123526494545,cutoff_x_uncertainty
moderate,heterogeneous,low_info,0.65,100,0.161439101048588,30,1800,0.03545942544700234,0.007349758891626283,0.0868545213452796,0.012849595155071244,-0.051395095898277246,0.014533294829711312,0.26,-144.9405771537172,cutoff_only
moderate,heterogeneous,baseline_info,1.0,100,0.15781983541788183,1,60,0.28411693246935704,0.030021694952339566,0.24693680523929917,0.027094296769880687,0.037180127230057966,0.03100978655766764,0.41,13.08620605851007,cutoff_x_uncertainty
moderate,heterogeneous,baseline_info,1.0,100,0.15781983541788183,3,180,0.18738172932228037,0.023648387793772728,0.20232508934788854,0.02023192628005634,-0.014943360025608067,0.02345414032894611,0.28,-7.974822347757706,cutoff_only
moderate,heterogeneous,baseline_info,1.0,100,0.15781983541788183,10,600,0.09375348297840656,0.013941845774048254,0.11618104406016623,0.014707173611874014,-0.022427561081759712,0.01682470499419302,0.29,-23.92184308173944,cutoff_only
moderate,heterogeneous,baseline_info,1.0,100,0.15781983541788183,30,1800,0.020313277022503608,0.005584599060366258,0.055896193937749555,0.010321772251904882,-0.035582916915245955,0.011473556078475755,0.19,-175.17073624224304,cutoff_only
moderate,heterogeneous,high_info,1.5,100,0.16186626659809902,1,60,0.19055340843387636,0.02630518797948455,0.1348073635817732,0.01821895549719319,0.05574604485210311,0.025042824110479468,0.41,29.254813813234655,cutoff_x_uncertainty
moderate,heterogeneous,high_info,1.5,100,0.16186626659809902,3,180,0.09530242180318199,0.01735104079132964,0.1026235997992736,0.014827856043181143,-0.007321177996091603,0.021014785699293805,0.28,-7.682048218261712,cutoff_only
moderate,heterogeneous,high_info,1.5,100,0.16186626659809902,10,600,0.04861367319190696,0.011413860962560491,0.0627675718912517,0.00953162522821967,-0.014153898699344745,0.013053542870357888,0.31,-29.115057081720455,cutoff_only
moderate,heterogeneous,high_info,1.5,100,0.16186626659809902,30,1800,0.015015400940508612,0.0033045990424730677,0.02771742632199573,0.005669814003629965,-0.012702025381487117,0.00549234601425049,0.16,-84.59331476936815,cutoff_only
crowded,balanced,low_info,0.65,100,0.05511564441462352,1,60,0.3991681471486808,0.04745850166843996,0.4321983116176609,0.04758395021194944,-0.03303016446897996,0.0486328948357938,0.36,-8.274749552267505,cutoff_only
crowded,balanced,low_info,0.65,100,0.05511564441462352,3,180,0.27971407706570206,0.036772159607311054,0.25973570170532106,0.029725951272958656,0.01997837536038093,0.036858293625717034,0.35,7.142427571025753,cutoff_x_uncertainty
crowded,balanced,low_info,0.65,100,0.05511564441462352,10,600,0.1484120604398587,0.021817147259906272,0.16895421456066154,0.0209528179063963,-0.020542154120802777,0.02766028779871258,0.33,-13.84129703470232,cutoff_only
crowded,balanced,low_info,0.65,100,0.05511564441462352,30,1800,0.05644241787918359,0.01111559223927194,0.09252996860245365,0.014244762069349807,-0.03608755072327002,0.016278801884145946,0.28,-63.9369326815806,cutoff_only
crowded,balanced,baseline_info,1.0,100,0.05506114665007817,1,60,0.31692013615327863,0.031999461335586746,0.2971511402961823,0.035606839472198615,0.01976899585709642,0.03336551674936736,0.41,6.237847836697612,cutoff_x_uncertainty
crowded,balanced,baseline_info,1.0,100,0.05506114665007817,3,180,0.21256038821886747,0.02341283084591908,0.19261293196285703,0.027917031191425922,0.019947456256010496,0.025959077357834905,0.41,9.384371388836174,cutoff_x_uncertainty
crowded,balanced,baseline_info,1.0,100,0.05506114665007817,10,600,0.09477215255703758,0.016463498504672745,0.09520084516546799,0.01800482832326797,-0.0004286926084304232,0.022414101771610677,0.29,-0.4523402675405302,cutoff_only
